"NAME_3","NAME_4","VDC_name"
"Siraha","Rampur Birta","Rampurbirta"
"Siraha","RamnagarMirchaiya","Ramnagarmirchaiya"
"Siraha","MalhaniyaKhori","Malhaniyakhori"
"Siraha","GovindpurTaregana","Govindpurtaregana"
"Siraha","ChandraAyodhyapur","Chandraayodhyapur"
"Siraha","Dhanagadi","Dhangadi"
"Siraha","MahadewaPortaha","Mahadewaportaha"
"Siraha","NaharaRigoul","Nahararigoul"
"Siraha","PadariyaTharutol","Padariyatharutol"
"Siraha","ItariParsahi","Itariparsahi"
"Siraha","MaheshpurPatari","Maheshpurpatari"
"Siraha","FulkahaKati","Fulkahakati"
"Siraha","LaxmipurPatari","Laxmipurpatari"
"Siraha","Malhaniya Gamharia","Malhaniyagamharia"
"Siraha","BhawanpurKalabanzar","Bhawanpurkalabanzar"
"Siraha","BishnupurPra.Ra","Bishnupurpra.Ra"
"Siraha","Mohanpur Kamalpur","Mohanpurkamalpur"
"Siraha","NarahaBalkawa","Narahabalkawa"
"Siraha","PipraPra.Dha","Piprapra.Dha"
"Siraha","PipraPra.Pi","Piprapra.Pi"
"Siraha","SilorbaPachhawari","Silorbapachhawari"
"Siraha","SirahaN.P.","Siraha N.P."
"Siraha","SitapurPra.Ra.","Sitapurpra.Ra."
"Siraha","SonmatiMajhaura","Sonmatimajhaura"
"Siraha","ThalahaKataha","Thalahakataha"
"Solukhumbu","NechaBedghari","Nechabedghari"
"Solukhumbu","LodingTamakhani","Lodingtamakhani"
"Sunsari","RamnagarBhutaha","Ramnagarbhutaha"
"Sunsari","RamganjSenuwari","Ramganjsenuwari"
"Sunsari","RamganjBelgachhi","Ramganjbelgachhi"
"Sunsari","PaschimKasuha","Paschimkasuha"
"Sunsari","BhadgauSinawari","Bhadgausinawari"
"Sunsari","DharanN.P.","Dharan N.P."
"Sunsari","ItahariN.P.","Ithari N.P."
"Sunsari","Panchkanya","Panchakanya"
"Sunsari","InaruwaN.P.","Inaruwa N.P."
"Surkhet","BirendranagarN.P.","Birendranagar N.P."
"Surkhet","GhatGaun","Ghatgaun"
"Surkhet","GadiBayalkada","Gadibayalkada"
"Syangja","PutalibazarN.P.","Putalibazar N.P."
"Syangja","MajhakotSivalaya","Majhakotsivalaya"
"Syangja","ChandiBhanjyang","Chandibhanjyang"
